cid	chembl_id	smiles	InChI Key
1697	CHEMBL268868	O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21	AAALVYBICLMAMA-UHFFFAOYSA-N
46943432	CHEMBL1232461	CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21	AAAQFGUYHFJNHI-SFHVURJKSA-N
59620153	CHEMBL4303369	COc1ccc2[nH]c3c(-c4cccc5ccccc45)nccc3c2c1	AABFWJDLCCDJJN-UHFFFAOYSA-N
57267	CHEMBL8946	CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O	AADCDMQTJNYOSS-LBPRGKRZSA-N
15942827	CHEMBL3137322	O[C@H]([C@H](O)[C@@H]1CO1)[C@H]1CO1	AAFJXZWCNVJTMK-GUCUJZIJSA-N
115269	CHEMBL377725	O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34	AAGFPTSOPGCENQ-JLNYLFASSA-N
176870	CHEMBL553	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	AAKJLRGGTJKAMG-UHFFFAOYSA-N
5149140	CHEMBL177809	CCCCCCCCC(=O)NCc1cc(OC)c(O)cc1I	AAORACFZMYMFCG-UHFFFAOYSA-N
3016	CHEMBL12	CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21	AAOVKJBEBIDNHE-UHFFFAOYSA-N
23642319	CHEMBL490153	CCC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(S(N)(=O)=O)cc2)c1C	ABACVOXFUHDKNZ-UHFFFAOYSA-N
2044	CHEMBL2218926	CC(C)(C)c1cc(C=C(C#N)C#N)cc(Br)c1O	ABBADGFSRBWENF-UHFFFAOYSA-N
2484	CHEMBL990	CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12	ABJKWBDEJIDSJZ-UHFFFAOYSA-N
588963	CHEMBL1234574	Cc1[nH]c2ccccc2c1CCNC(=O)c1cccs1	ACAKNPKRLPMONU-UHFFFAOYSA-N
57519748	CHEMBL4297181	CO[C@@H](C)Cn1c(=O)n(C)c2cnc3ccc(-c4cncc(C(C)(C)O)c4)cc3c21	ACCFLVVUVBJNGT-AWEZNQCLSA-N
185460	CHEMBL1742423	CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21	ACCMWZWAEFYUGZ-UHFFFAOYSA-N
5884	CHEMBL407009	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	ACFIXJIJDZMPPO-NNYOXOHSSA-N
3518	CHEMBL765	N=C(N)NCCN1CCCCCCC1	ACGDKVXYNVEAGU-UHFFFAOYSA-N
3598	CHEMBL496	Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl	ACGUYXCXAPNIKK-UHFFFAOYSA-N
2898877	CHEMBL4104747	CC(C)(C)C1CCc2c(sc(NC(=O)c3ccco3)c2C(=O)O)C1	ACLUEOBQFRYTQS-UHFFFAOYSA-N
8515	CHEMBL7064	O=C1c2ccccc2-c2n[nH]c3cccc1c23	ACPOUJIDANTYHO-UHFFFAOYSA-N
6422124	CHEMBL14638	O=C(c1ccc(OCCCc2c[nH]cn2)cc1)C1CC1	ACQBHJXEAYTHCY-UHFFFAOYSA-N
132999	CHEMBL471737	COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2	ACRHBAYQBXXRTO-OAQYLSRUSA-N
4668904		O=P([O-])(O)C(Cl)(Cl)P(=O)([O-])O	ACSIXWWBWUQEHA-UHFFFAOYSA-L
5281915	CHEMBL454801	COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O	ACTIUHUUMQJHFO-UPTCCGCDSA-N
5702243	CHEMBL3039194	CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O[C@H]2CC[C@H](N(C)C)[C@@H](C)O2)/C=C/C=C/C[C@H](C)OC(=O)C[C@H]1O	ACTOXUHEUCPTEW-BOISPSKTSA-N
2724354	CHEMBL1201073	O=C(O)[C@@H](S)[C@@H](S)C(=O)O	ACTRVOBWPAIOHC-XIXRPRMCSA-N
107896	CHEMBL32503	COc1ccc(-c2ccc(=N)n(CCCC(=O)O)n2)cc1	ACVGNKYJVGNLIL-UHFFFAOYSA-N
65752	CHEMBL85139	O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12	ACVGWSKVRYFWRP-UHFFFAOYSA-N
60846	CHEMBL1069	CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C	ACWBQPMHZXGDFX-QFIPXVFZSA-N
10288191	CHEMBL3187723	Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21	ACWZRVQXLIRSDF-UHFFFAOYSA-N
57326210	CHEMBL2032202	O=C(Nc1ccc(F)cc1)N1CCc2ccccc2C1c1ccc(C(F)(F)F)cc1	ADCDUDFEGFKKQH-UHFFFAOYSA-N
3152	CHEMBL502	COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2	ADEBPBSSDYVVLD-UHFFFAOYSA-N
91469	CHEMBL198877	Oc1ccc([C@H]2COc3cc(O)ccc3C2)cc1	ADFCQWZHKCXPAJ-GFCCVEGCSA-N
44563327		C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)([O-])[O-]	ADFOJJHRTBFFOF-RBRWEJTLSA-L
58507717	CHEMBL4084907	Nc1cc(C(F)(F)F)c(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cn1	ADGGYDAFIHSYFI-UHFFFAOYSA-N
36511	CHEMBL235363	CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(=N)N)C(N)=O	ADNPLDHMAVUMIW-CUZNLEPHSA-N
1549098	CHEMBL1160508	N[C@@H](CS(=O)O)C(=O)O	ADVPTQAUNPRNPO-REOHCLBHSA-N
153976	CHEMBL2068971	C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@](O)(c3ccoc3)CC[C@]12O	AEAPORIZZWBIEX-DTBDINHYSA-N
11476171	CHEMBL1614712	Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@@H](CN2CCC2)C1	AECDBHGVIIRMOI-GRGXKFILSA-N
46006640	CHEMBL3133036	CCC(C)CNCC(=O)N1CCc2sccc2C1COc1cccc(C)c1	AEENEMOEBJOKGN-UHFFFAOYSA-N
3082718	CHEMBL38576	CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H](CN1CCCC1)c1ccccc1	AEJOEPSMZCEYJN-HXUWFJFHSA-N
5702124	CHEMBL1623519	NC1C[C@H]1c1ccccc1	AELCINSCMGFISI-IENPIDJESA-N
2761171	CHEMBL1441	CCc1cc(C(N)=S)ccn1	AEOCXXJPGCBFJA-UHFFFAOYSA-N
72301	CHEMBL487182	COc1cc2c(cc1OC)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2	AEQDJSLRWYMAQI-KRWDZBQOSA-N
122121	CHEMBL236036	CCCCCCCCCCCCCC[C@@H](O)[C@@H](O)[C@@H](N)CO	AERBNCYCJBRYDG-KSZLIROESA-N
14052	CHEMBL44884	CC[C@@H](CO)NCCN[C@@H](CC)CO	AEUTYOVWOVBAKS-UWVGGRQHSA-N
11201035	CHEMBL191066	Oc1ccc(-c2c(-c3ccccc3)nn3c(C(F)(F)F)cc(C(F)(F)F)nc23)cc1	AEZPAUSGTAHLOQ-UHFFFAOYSA-N
3636249		CC(=O)NCCCS(=O)(=O)[O-]	AFCGFAGUEYAMAO-UHFFFAOYSA-M
699414	CHEMBL95770	COc1ccc(/C=C/C(=O)O)cc1	AFDXODALSZRGIH-QPJJXVBHSA-N
9866696	CHEMBL497001	O=C1c2c(O)cccc2C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21	AFHJQYHRLPMKHU-CGISPIQUSA-N
46843057	CHEMBL2219422	Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl	AFJRDFWMXUECEW-LBPRGKRZSA-N
98042561		CO[C@H]1CC(O[C@@H]2/C(C)=C/C[C@@H]3C[C@@H](C[C@]4(CC[C@H](C)[C@@H](C5CCCCC5)O4)O3)OC(=O)[C@@H]3C=C(C)/C(=N/O)[C@H]4OC/C(=C\C=C\[C@@H]2C)[C@]43O)O[C@@H](C)C1O	AFJYYKSVHJGXSN-XUCDQRGXSA-N
9864881	CHEMBL3707395	CSc1ccc(C(=O)/C=C/c2cc(C)c(OC(C)(C)C(=O)O)c(C)c2)cc1	AFLFKFHDSCQHOL-IZZDOVSWSA-N
5318	CHEMBL1221	Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1	AFNXATANNDIXLG-UHFFFAOYSA-N
131725	CHEMBL59834	CC(C)n1c(=O)n(C(=O)NC2CC3CCC(C2)N3C)c2ccccc21	AFOFVIBWSLOHFR-UHFFFAOYSA-N
129009968	CHEMBL5308394	Cc1ccc(C(C)C)c(OC=C2NCCN2)c1	AFQQVNXTHGUXEQ-UHFFFAOYSA-N
5281855	CHEMBL6246	O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23	AFSDNFLWKVMVRB-UHFFFAOYSA-N
57364	CHEMBL70159	O=C(O)c1ccc2[nH]cc(CCCCN3CC=C(c4ccccc4)CC3)c2c1	AFSOIHMEOKEZJF-UHFFFAOYSA-N
51031035	CHEMBL3237589	CCn1c2ccccc2c2cc(Nc3ccnc(NCCCN4CCOCC4)n3)ccc21	AFTZZRFCMOAFCR-UHFFFAOYSA-N
154104	CHEMBL1643880	O=C(N[C@H]1CN2CCC1CC2)c1cnc2ccsc2c1O	AFUWQWYPPZFWCO-LBPRGKRZSA-N
5328791	CHEMBL76602	N#C/C(=C\c1ccc(O)cc1)C(=O)O	AFVLVVWMAFSXCK-VMPITWQZSA-N
13728410		CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(/C=C\c3scnc3C)CSC12)c1csc(N)n1	AFZFFLVORLEPPO-DGQFBIKGSA-N
10668211	CHEMBL1619948	COc1cccc(CCc2ccccc2OCC[C@@H]2C[C@@H](O)CN2C)c1	AFZLABYDOCWQBQ-WOJBJXKFSA-N
22200891	CHEMBL2313646	Cc1cc(C)c(S(=O)(=O)n2cc(C)cc2C)c(C)c1	AFZWZVLPIMHLSE-UHFFFAOYSA-N
864	CHEMBL33864	O=C(O)CCCCC1CCSS1	AGBQKNBQESQNJD-UHFFFAOYSA-N
38409	CHEMBL267744	O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl	AGHANLSBXUWXTB-UHFFFAOYSA-N
3166	CHEMBL442444	CCN(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1	AGJBLWCLQCKRJP-UHFFFAOYSA-N
378811	CHEMBL1378945	O=C(NCCCN1CCCCCC1)C(c1ccccc1)C1CCCCC1	AGKAAJMNNVUNDK-UHFFFAOYSA-N
6307	CHEMBL1532	CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1	AGMMTXLNIQSRCG-UHFFFAOYSA-N
65459349	CHEMBL4084106	CC(C)(N)c1nc(-c2ccc(OC(F)(F)F)cc2)c[nH]1	AGORGFNWYAUYSU-UHFFFAOYSA-N
84029	CHEMBL1741	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O	AGOYDEPGAOXOCK-KCBOHYOISA-N
46851313	CHEMBL3589557	O=C(c1cc(S(=O)(=O)Nc2ccccc2F)c(F)cc1Cl)N1CCN2CCC[C@@H]2C1	AGPIHNZOZNKRGT-CYBMUJFWSA-N
791	CHEMBL297800	CCC(C)C(N)C(=O)O	AGPKZVBTJJNPAG-UHFFFAOYSA-N
73425805	CHEMBL3785668	Cc1nnc(C[C@@H]2C=C(c3ccc(Cl)cc3)c3ccccc3-n3c(C)nnc32)o1	AGYIAWHWIUZNSD-INIZCTEOSA-N
102011	CHEMBL2105993	CC(=O)[C@@]12OC(C)(c3ccccc3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]12C	AHBKIEXBQNRDNL-BXXPAUNWSA-N
