,dbID,atcClassification,id
0,DB00001,"B01AE02,B01AE,B01A,B01,B,Drug",CHEMBL1201666
1,DB00002,"L01FE01,L01FE,L01F,L01,L,Drug",CHEMBL1201577
2,DB00003,"R05CB13,R05CB,R05C,R05,R,Drug",CHEMBL1201431
3,DB00004,"L01XX29,L01XX,L01X,L01,L,Drug",CHEMBL1201550
4,DB00005,"L04AB01,L04AB,L04A,L04,L,Drug",CHEMBL1201572
5,DB00006,"B01AE06,B01AE,B01A,B01,B,Drug",CHEMBL2103749
6,DB00007,"L02AE51,L02AE,L02A,L02,L,Drug;L02AE02,L02AE,L02A,L02,L,Drug",CHEMBL1201199
7,DB00008,"L03AB11,L03AB,L03A,L03,L,Drug;L03AB61,L03AB,L03A,L03,L,Drug",CHEMBL1201560
8,DB00009,"B01AD02,B01AD,B01A,B01,B,Drug;S01XA13,S01XA,S01X,S01,S,Drug",CHEMBL1201593
9,DB00010,"V04CD03,V04CD,V04C,V04,V,Drug;H01AC04,H01AC,H01A,H01,H,Drug",
10,DB00011,"L03AB06,L03AB,L03A,L03,L,Drug",CHEMBL2108509
11,DB00012,"B03XA02,B03XA,B03X,B03,B,Drug",CHEMBL1201566
12,DB00013,"B01AD04,B01AD,B01A,B01,B,Drug",CHEMBL1201420
13,DB00014,"L02AE03,L02AE,L02A,L02,L,Drug",CHEMBL1201247
14,DB00015,"B01AD07,B01AD,B01A,B01,B,Drug",CHEMBL2107885
15,DB00016,"B03XA01,B03XA,B03X,B03,B,Drug",CHEMBL1201565
16,DB00017,"H05BA01,H05BA,H05B,H05,H,Drug",
17,DB00018,Drug,CHEMBL2109047
18,DB00019,"L03AA13,L03AA,L03A,L03,L,Drug",CHEMBL1201568
19,DB00020,"L03AA09,L03AA,L03A,L03,L,Drug",CHEMBL1201670
20,DB00022,"L03AB10,L03AB,L03A,L03,L,Drug;L03AB60,L03AB,L03A,L03,L,Drug",CHEMBL1201561
21,DB00023,"L01XX02,L01XX,L01X,L01,L,Drug",CHEMBL2108989
22,DB00024,"H01AB01,H01AB,H01A,H01,H,Drug",CHEMBL1201533
23,DB00025,"B02BD02,B02BD,B02B,B02,B,Drug",CHEMBL2108175
24,DB00026,"L04AC03,L04AC,L04A,L04,L,Drug",CHEMBL1201570
25,DB00027,"R02AB30,R02AB,R02A,R02,R,Drug",CHEMBL557217
26,DB00028,Drug,
27,DB00029,"B01AD03,B01AD,B01A,B01,B,Drug",CHEMBL2108250
28,DB00030,"A10AC01,A10AC,A10A,A10,A,Drug;A10AE01,A10AE,A10A,A10,A,Drug;A10AB01,A10AB,A10A,A10,A,Drug;A10AD01,A10AD,A10A,A10,A,Drug;A10AF01,A10AF,A10A,A10,A,Drug",
29,DB00031,"B01AD11,B01AD,B01A,B01,B,Drug",CHEMBL2108791
30,DB00032,"G03GA02,G03GA,G03G,G03,G,Drug;G03GA03,G03GA,G03G,G03,G,Drug",CHEMBL2108427
31,DB00033,Drug,CHEMBL1201564
32,DB00034,"L03AB04,L03AB,L03A,L03,L,Drug",
33,DB00035,"H01BA02,H01BA,H01B,H01,H,Drug",CHEMBL1429
34,DB00036,"B02BD08,B02BD,B02B,B02,B,Drug",
35,DB00038,"L03AC02,L03AC,L03A,L03,L,Drug",CHEMBL1201573
36,DB00039,"V03AF08,V03AF,V03A,V03,V,Drug",CHEMBL1201821
37,DB00040,"H04AA01,H04AA,H04A,H04,H,Drug",CHEMBL266481
38,DB00041,"L03AC01,L03AC,L03A,L03,L,Drug",CHEMBL1201438
39,DB00042,"M03AX01,M03AX,M03A,M03,M,Drug",CHEMBL1201569
40,DB00043,"R03DX05,R03DX,R03D,R03,R,Drug",CHEMBL1201589
41,DB00044,"G03GA07,G03GA,G03G,G03,G,Drug",CHEMBL1201419
42,DB00045,Drug,
43,DB00046,"A10AC04,A10AC,A10A,A10,A,Drug;A10AB04,A10AB,A10A,A10,A,Drug;A10AD04,A10AD,A10A,A10,A,Drug",CHEMBL1201538
44,DB00047,"A10AE54,A10AE,A10A,A10,A,Drug;A10AE04,A10AE,A10A,A10,A,Drug",CHEMBL1201497
45,DB00048,"D03BA02,D03BA,D03B,D03,D,Drug;M09AB02,M09AB,M09A,M09,M,Drug;D03BA52,D03BA,D03B,D03,D,Drug",
46,DB00049,"V03AF07,V03AF,V03A,V03,V,Drug;M04AX01,M04AX,M04A,M04,M,Drug",CHEMBL1201594
47,DB00050,"H01CC02,H01CC,H01C,H01,H,Drug",CHEMBL1200490
48,DB00051,"L04AB04,L04AB,L04A,L04,L,Drug",CHEMBL1201580
49,DB00052,"H01AC01,H01AC,H01A,H01,H,Drug",CHEMBL1201621
50,DB00053,"A16AB02,A16AB,A16A,A16,A,Drug",CHEMBL1201632
51,DB00054,"B01AC13,B01AC,B01A,B01,B,Drug",CHEMBL1201584
52,DB00055,"B01AD10,B01AD,B01A,B01,B,Drug",
53,DB00056,"L01FX02,L01FX,L01F,L01,L,Drug",CHEMBL1201506
54,DB00057,"V09IB02,V09IB,V09I,V09,V,Drug",CHEMBL1743091
55,DB00058,"B02AB02,B02AB,B02A,B02,B,Drug",
56,DB00059,"L01XX24,L01XX,L01X,L01,L,Drug",CHEMBL2108546
57,DB00060,"L03AB07,L03AB,L03A,L03,L,Drug",CHEMBL1201562
58,DB00061,"L03AX04,L03AX,L03A,L03,L,Drug",CHEMBL1201514
59,DB00062,"B05AA01,B05AA,B05A,B05,B,Drug",CHEMBL1201451
60,DB00063,"B01AC16,B01AC,B01A,B01,B,Drug",CHEMBL1174
61,DB00065,"L04AB02,L04AB,L04A,L04,L,Drug",CHEMBL1201581
62,DB00066,"G03GA06,G03GA,G03G,G03,G,Drug;G03GA10,G03GA,G03G,G03,G,Drug;G03GA05,G03GA,G03G,G03,G,Drug",CHEMBL1201692
63,DB00067,Drug,CHEMBL373742
64,DB00068,"L03AB08,L03AB,L03A,L03,L,Drug",CHEMBL1201563
65,DB00069,"L03AB09,L03AB,L03A,L03,L,Drug",CHEMBL1201557
66,DB00070,Drug,CHEMBL1201636
67,DB00071,"A10AC03,A10AC,A10A,A10,A,Drug;A10AB03,A10AB,A10A,A10,A,Drug;A10AE03,A10AE,A10A,A10,A,Drug;A10AD03,A10AD,A10A,A10,A,Drug",
68,DB00072,"L01FD01,L01FD,L01F,L01,L,Drug;L01XY02,L01XY,L01X,L01,L,Drug",CHEMBL1201585
69,DB00073,"L01FA01,L01FA,L01F,L01,L,Drug",CHEMBL1201576
70,DB00074,"L04AC02,L04AC,L04A,L04,L,Drug",CHEMBL1201439
71,DB00075,"L04AA02,L04AA,L04A,L04,L,Drug",CHEMBL1201608
72,DB00076,"V03AB24,V03AB,V03A,V03,V,Drug",
73,DB00078,"V10XX02,V10XX,V10X,V10,V,Drug",
74,DB00080,"J01XX09,J01XX,J01X,J01,J,Drug",CHEMBL4744444
75,DB00081,"V10XA53,V10XA,V10X,V10,V,Drug",CHEMBL1201604
76,DB00082,"H01AX01,H01AX,H01A,H01,H,Drug",CHEMBL1201515
77,DB00083,"M03AX01,M03AX,M03A,M03,M,Drug",
78,DB00085,"A09AA02,A09AA,A09A,A09,A,Drug",CHEMBL2108074
79,DB00086,"B01AD01,B01AD,B01A,B01,B,Drug;B06AA55,B06AA,B06A,B06,B,Drug",CHEMBL2108147
80,DB00087,"L04AA34,L04AA,L04A,L04,L,Drug",CHEMBL1201587
81,DB00088,"A16AB01,A16AB,A16A,A16,A,Drug",CHEMBL1201633
82,DB00089,"V09IB04,V09IB,V09I,V09,V,Drug",CHEMBL2108285
83,DB00090,"A16AB05,A16AB,A16A,A16,A,Drug",CHEMBL1201595
84,DB00091,"L04AD01,L04AD,L04A,L04,L,Drug;S01XA18,S01XA,S01X,S01,S,Drug",CHEMBL160
85,DB00092,"L04AA15,L04AA,L04A,L04,L,Drug",CHEMBL1201571
86,DB00093,Drug,CHEMBL3185126
87,DB00094,"G03GA04,G03GA,G03G,G03,G,Drug",CHEMBL1201520
88,DB00095,"L04AA21,L04AA,L04A,L04,L,Drug",CHEMBL1201575
89,DB00097,"G03GA08,G03GA,G03G,G03,G,Drug",CHEMBL1201464
90,DB00098,"L04AA04,L04AA,L04A,L04,L,Drug",
91,DB00099,"L03AA02,L03AA,L03A,L03,L,Drug",CHEMBL1201567
92,DB00100,Drug,
93,DB00102,"D03AX06,D03AX,D03A,D03,D,Drug;A01AD08,A01AD,A01A,A01,A,Drug",CHEMBL1201556
94,DB00103,"A16AB04,A16AB,A16A,A16,A,Drug",CHEMBL2108888
95,DB00104,"H01CB02,H01CB,H01C,H01,H,Drug",CHEMBL1680
96,DB00105,"L03AB05,L03AB,L03A,L03,L,Drug",
97,DB00106,"L02BX01,L02BX,L02B,L02,L,Drug",CHEMBL1252
98,DB00107,"G02AC01,G02AC,G02A,G02,G,Drug;H01BB02,H01BB,H01B,H01,H,Drug",CHEMBL395429
