drug	disease	label
pubchem.compound:25267009	UMLS:C4015729	0
pubchem.compound:4037	UMLS:C0155020	0
pubchem.compound:3108	UMLS:C0034012	0
pubchem.compound:5419	UMLS:C0265290	0
pubchem.compound:5284569	UMLS:C0023283	0
CHEMBL:CHEMBL3707357	UMLS:C4722277	0
CHEMBL:CHEMBL1201497	UMLS:C0265535	0
pubchem.compound:441336	UMLS:C0376532	0
pubchem.compound:359	UMLS:C5680191	0
pubchem.compound:25151504	UMLS:C0038525	0
CHEMBL:CHEMBL4594242	UMLS:C0019294	0
pubchem.compound:66259	UMLS:C5190706	0
pubchem.compound:62937	UMLS:C0037277	0
CHEMBL:CHEMBL1201561	UMLS:C0035344	0
pubchem.compound:9051	UMLS:C1861502	0
pubchem.compound:4616	UMLS:C0150055	0
CHEMBL:CHEMBL832	UMLS:C0013338	0
CHEMBL:CHEMBL1201581	UMLS:C0553707	0
pubchem.compound:10413	UMLS:C1704417	0
pubchem.compound:5284441	UMLS:C0020179	0
pubchem.compound:16214875	UMLS:C0005411	0
pubchem.compound:5284583	UMLS:C1837618	0
pubchem.compound:46908928	UMLS:C0268487	0
pubchem.compound:2370	UMLS:C0020651	0
pubchem.compound:5284373	UMLS:C0007570	0
CHEMBL:CHEMBL2109093	UMLS:C0029839	0
pubchem.compound:25151352	UMLS:C3541471	0
pubchem.compound:5280360	UMLS:C0021400	0
pubchem.compound:135413538	UMLS:C0221480	0
pubchem.compound:182137	UMLS:C0006267	0
CHEMBL:CHEMBL1201834	UMLS:C3532934	0
pubchem.compound:25074470	UMLS:C3151059	0
CHEMBL:CHEMBL1201589	UMLS:C0024299	0
pubchem.compound:3168	UMLS:C4014869	0
pubchem.compound:26133	UMLS:C3280054	0
pubchem.compound:31401	UMLS:C0006118	0
pubchem.compound:23663956	UMLS:C0428791	0
pubchem.compound:171359947	UMLS:C2675719	0
pubchem.compound:46220502	UMLS:C1313885	0
CHEMBL:CHEMBL3707277	UMLS:C1384666	0
CHEMBL:CHEMBL2108313	UMLS:C0746102	0
pubchem.compound:4911	UMLS:C5829889	0
pubchem.compound:2732	UMLS:C5394371	0
pubchem.compound:124081865	UMLS:C5679692	0
pubchem.compound:6215	UMLS:C0270612	0
pubchem.compound:249332	UMLS:C0009363	0
CHEMBL:CHEMBL1743081	UMLS:C0338480	0
pubchem.compound:11338033	UMLS:C0005974	0
pubchem.compound:71491931	UMLS:C1855081	0
pubchem.compound:3519	UMLS:C4273988	0
pubchem.compound:14675	UMLS:C0018524	0
pubchem.compound:135565884	UMLS:C0751529	0
pubchem.compound:5311065	UMLS:C4551506	0
pubchem.compound:60837	UMLS:C0848558	0
pubchem.compound:59634741	UMLS:C1970859	0
pubchem.compound:3652	UMLS:C2875300	0
pubchem.compound:5656	UMLS:C0264490	0
pubchem.compound:71680039	UMLS:C0017531	0
pubchem.compound:3278	UMLS:C4693784	0
pubchem.compound:3022645	UMLS:C4048270	0
CHEMBL:CHEMBL1201468	UMLS:C5561940	0
pubchem.compound:20112022	UMLS:C0035300	0
pubchem.compound:156009451	UMLS:C4509024	0
CHEMBL:CHEMBL1201662	UMLS:C0344559	0
pubchem.compound:15983988	UMLS:C0023860	0
pubchem.compound:23724914	UMLS:C4225429	0
pubchem.compound:5073	UMLS:C0029401	0
pubchem.compound:67330085	UMLS:C5396362	0
pubchem.compound:123619	UMLS:C0013238	0
pubchem.compound:16760425	UMLS:C1851286	0
pubchem.compound:2244	UMLS:C0018553	0
pubchem.compound:11685945	UMLS:C0027707	0
pubchem.compound:5311067	UMLS:C1857025	0
pubchem.compound:5487427	UMLS:C0029513	0
pubchem.compound:72202474	UMLS:C0033805	0
CHEMBL:CHEMBL4594242	UMLS:C0677866	0
pubchem.compound:9651	UMLS:C4015405	0
pubchem.compound:6918296	UMLS:C0014868	0
pubchem.compound:44205240	UMLS:C4016325	0
CHEMBL:CHEMBL136478	UMLS:C0268318	0
pubchem.compound:9971980	UMLS:C2931500	0
pubchem.compound:3510	UMLS:C0403823	0
pubchem.compound:66558664	UMLS:C0520806	0
CHEMBL:CHEMBL3545132	UMLS:C0086468	0
pubchem.compound:52938427	UMLS:C0152459	0
pubchem.compound:6917715	UMLS:C5681165	0
pubchem.compound:13342	UMLS:C0022578	0
CHEMBL:CHEMBL4298084	UMLS:C5394051	0
pubchem.compound:62857	UMLS:C0158442	0
pubchem.compound:657181	UMLS:C1869115	0
pubchem.compound:68029831	UMLS:C3495488	0
pubchem.compound:9941444	UMLS:C4225429	0
pubchem.compound:166589	UMLS:C0238111	0
pubchem.compound:91971505	UMLS:C0003496	0
pubchem.compound:5865	UMLS:C0023645	0
pubchem.compound:216208	UMLS:C0009691	0
pubchem.compound:11236066	UMLS:C0035372	0
pubchem.compound:6215	UMLS:C4747984	0
pubchem.compound:6445540	UMLS:C5561926	0
CHEMBL:CHEMBL2107979	UMLS:C5779776	0
pubchem.compound:121490161	UMLS:C0030319	0
CHEMBL:CHEMBL4297750	UMLS:C0029531	0
pubchem.compound:4062	UMLS:C3887506	0
pubchem.compound:5504	UMLS:C0153574	0
pubchem.compound:36811	UMLS:C1832425	0
pubchem.compound:441345	UMLS:C0022876	0
CHEMBL:CHEMBL1201505	UMLS:C0206692	0
pubchem.compound:4595	UMLS:C5569081	0
CHEMBL:CHEMBL3990011	UMLS:C1865019	0
pubchem.compound:32169	UMLS:C1837404	0
pubchem.compound:11236126	UMLS:C5574948	0
pubchem.compound:11529527	UMLS:C0011881	0
CHEMBL:CHEMBL4594334	UMLS:C3553788	0
pubchem.compound:45101433	UMLS:C0021359	0
CHEMBL:CHEMBL3833346	UMLS:C0340279	0
CHEMBL:CHEMBL1201662	UMLS:C0264694	0
pubchem.compound:21826	UMLS:C0338831	0
pubchem.compound:134018	UMLS:C0268125	0
pubchem.compound:2284	UMLS:C4014408	0
pubchem.compound:134018	UMLS:C0158451	0
pubchem.compound:82148	UMLS:C0520575	0
pubchem.compound:5408	UMLS:C0156257	0
pubchem.compound:2895	UMLS:C0007787	0
CHEMBL:CHEMBL1743085	UMLS:C0026269	0
pubchem.compound:90409366	UMLS:C4225348	0
pubchem.compound:71184	UMLS:C0152200	0
CHEMBL:CHEMBL2109433	UMLS:C0003723	0
pubchem.compound:3964	UMLS:C0154564	0
pubchem.compound:23635314	UMLS:C0019693	0
pubchem.compound:49841217	UMLS:C0026351	0
pubchem.compound:10257882	UMLS:C0008925	0
CHEMBL:CHEMBL2109092	UMLS:C1837397	0
pubchem.compound:3958	UMLS:C4015405	0
pubchem.compound:6433095	UMLS:C4551804	0
pubchem.compound:62923	UMLS:C0266544	0
pubchem.compound:3005573	UMLS:C1839730	0
pubchem.compound:2754	UMLS:C0151699	0
pubchem.compound:2733526	UMLS:C0003486	0
pubchem.compound:49831257	UMLS:C0086468	0
pubchem.compound:1548943	UMLS:C0206692	0
pubchem.compound:71186236	UMLS:C0039338	0
CHEMBL:CHEMBL1201560	UMLS:C0030319	0
pubchem.compound:25126798	UMLS:C0023645	0
pubchem.compound:30928	UMLS:C0153519	0
pubchem.compound:44564108	UMLS:C5190706	0
pubchem.compound:5734	UMLS:C0041948	0
CHEMBL:CHEMBL2007641	UMLS:C2675874	0
pubchem.compound:121586	UMLS:C0175754	0
CHEMBL:CHEMBL2108628	UMLS:C4025797	0
CHEMBL:CHEMBL4297830	UMLS:C0009917	0
pubchem.compound:64737	UMLS:C0342881	0
pubchem.compound:104741	UMLS:C0153415	0
pubchem.compound:11237762	UMLS:C0206655	0
pubchem.compound:5918	UMLS:C4048270	0
pubchem.compound:44595079	UMLS:C1852091	0
pubchem.compound:54767229	UMLS:C0040427	0
pubchem.compound:5807	UMLS:C5680452	0
pubchem.compound:9920716	UMLS:C4748766	0
pubchem.compound:49831257	UMLS:C1834751	0
pubchem.compound:118878093	UMLS:C4748081	0
pubchem.compound:9887712	UMLS:C0205713	0
pubchem.compound:4091	UMLS:C0029445	0
pubchem.compound:60151560	UMLS:C1835826	0
pubchem.compound:60606	UMLS:C0013384	0
pubchem.compound:11990828	UMLS:C0000768	0
pubchem.compound:60835	UMLS:C0007786	0
pubchem.compound:21800	UMLS:C0162671	0
pubchem.compound:9294	UMLS:C0001969	0
pubchem.compound:5018304	UMLS:C0424503	0
pubchem.compound:25134303	UMLS:C5681589	0
pubchem.compound:166625231	UMLS:C5681528	0
pubchem.compound:123619	UMLS:C0409667	0
CHEMBL:CHEMBL1201827	UMLS:C4225303	0
pubchem.compound:4932	UMLS:C0005587	0
pubchem.compound:135413538	UMLS:C0020217	0
pubchem.compound:4513	UMLS:C0085159	0
pubchem.compound:2564	UMLS:C0019209	0
pubchem.compound:3488	UMLS:C1836542	0
pubchem.compound:37542	UMLS:C0265633	0
pubchem.compound:49867930	UMLS:C0271183	0
CHEMBL:CHEMBL1743034	UMLS:C0265202	0
pubchem.compound:171359947	UMLS:C0004114	0
pubchem.compound:16041424	UMLS:C5399761	0
CHEMBL:CHEMBL1201649	UMLS:C1854988	0
pubchem.compound:3749	UMLS:C1855925	0
pubchem.compound:123619	UMLS:C0011854	0
pubchem.compound:159603	UMLS:C1849075	0
pubchem.compound:104865	UMLS:C3809250	0
pubchem.compound:6439522	UMLS:C5543406	0
CHEMBL:CHEMBL4297864	UMLS:C4693784	0
pubchem.compound:42611257	UMLS:C1305122	0
CHEMBL:CHEMBL2108147	UMLS:C0004763	0
pubchem.compound:9941379	UMLS:C0029591	0
CHEMBL:CHEMBL4297829	UMLS:C5774279	0
pubchem.compound:73417116	UMLS:C1863732	0
pubchem.compound:657309	UMLS:C5191005	0
CHEMBL:CHEMBL4297750	UMLS:C5203670	0
pubchem.compound:3827	UMLS:C2937358	0
pubchem.compound:10184653	UMLS:C0032226	0
pubchem.compound:16048656	UMLS:C1864839	0
pubchem.compound:71009737	UMLS:C4748768	0
CHEMBL:CHEMBL2109540	UMLS:C5779875	0
CHEMBL:CHEMBL2108184	UMLS:C0019202	0
pubchem.compound:2187	UMLS:C0013369	0
pubchem.compound:5452	UMLS:C4477100	0
pubchem.compound:6918486	UMLS:C0029595	0
pubchem.compound:54684461	UMLS:C0022658	0
pubchem.compound:12555	UMLS:C4225348	0
