?disease	?disease_label	?superclass	?superclass_label	?subclass_disease	?subclass_label
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D045473>	"SARS-CoV-2"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D012176>	"Retinyl Esters"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D004952>	"Retinyl Esters"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D001427>	"Bacillus thuringiensis Toxins"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D015719>	"Uridylate-Specific Endoribonucleases"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D030342>	"Laminopathies"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D012697>	"Reelin Protein"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D015815>	"Reelin Protein"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D015816>	"Reelin Protein"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D016326>	"Reelin Protein"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D015398>	"Hippo Signaling Pathway"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D017346>	"Serine-Threonine Kinase 3"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D008919>	"Vaccine Development"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D001628>	"Fermented Beverages"@en
<http://id.nlm.nih.gov/mesh/D000087525>	"Radiation Fibrosis Syndrome"@en	<http://id.nlm.nih.gov/mesh/D005355>	"Fibrosis"@en	<http://id.nlm.nih.gov/mesh/D000074421>	"Fermented Beverages"@en
