umls	mondo	parent
UMLS:C4021547		disease
UMLS:C4512055	MONDO:0010066	inborn error of immunity,immune deficiency disease,hereditary disease,human disease,disease
UMLS:C0796147	MONDO:0008708	syndromic disease,human disease,disease
UMLS:C3554225	MONDO:0013992	congenital hypogonadotropic hypogonadism,hypogonadotropic hypogonadism,hypogonadism,gonadal disorder,reproductive system disorder,human disease,disease
UMLS:C4748162	MONDO:0054860	hearing loss, autosomal recessive,autosomal recessive disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C1839839	MONDO:0010648	bipolar II disorder,bipolar disorder,mood disorder,mental disorder,psychiatric disorder,human disease,disease
UMLS:C0037929	MONDO:0043797	vertebral column disorder,skeletal system disorder,musculoskeletal system disorder,human disease,disease
UMLS:C1848172	MONDO:0010241, MONDO:0044749, MONDO:0016293	X-linked congenital stationary night blindness,X-linked disease,hereditary disease,human disease,disease
UMLS:C0040427		disease
UMLS:C2751764	MONDO:0011458	cone-rod dystrophy,inherited retinal dystrophy,retinal degeneration,retinal disorder,nervous system disorder,human disease,disease
UMLS:C4751168	MONDO:0016377	multiple congenital anomalies/dysmorphic syndrome-intellectual disability,multiple congenital anomalies/dysmorphic syndrome,developmental defect during embryogenesis,disorder of development or morphogenesis,human disease,disease
UMLS:C0009917		disease
UMLS:C0010495	MONDO:0009052, MONDO:0009053, MONDO:0009054, MONDO:0014706, MONDO:0013751, MONDO:0013754, MONDO:0013755, MONDO:0018163, MONDO:0007411, MONDO:0027451, MONDO:0027462, MONDO:0019571, MONDO:0013051, MONDO:0016175	autosomal recessive cutis laxa type 1,autosomal recessive disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C0265338	MONDO:0015452	syndromic disease,human disease,disease
UMLS:C4016211		disease
UMLS:C1855553	MONDO:0009503	pyruvate dehydrogenase deficiency,inborn mitochondrial metabolism disorder,developmental anomaly of metabolic origin,metabolic disease,human disease,disease
UMLS:C0036349	MONDO:0001484	schizophrenia,psychotic disorder,cognitive disorder,psychiatric disorder,human disease,disease
UMLS:C0039446	MONDO:0001576	peripheral vascular disease,vascular disorder,cardiovascular disorder,human disease,disease
UMLS:C0016202	MONDO:0005293	skeletal system disorder,musculoskeletal system disorder,human disease,disease
UMLS:C5679956	MONDO:0017683	homocystinuria without methylmalonic aciduria,homocystinuria,inborn disorder of amino acid metabolism,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C0206663	MONDO:0005462, MONDO:0007959, MONDO:0017046	embryonal neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C2752007	MONDO:0013049	congenital disorder of glycosylation type I,congenital disorder of glycosylation,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C0268393	MONDO:0005620, MONDO:0018591	cerebrovascular disorder,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C1847014	MONDO:0011751	hereditary disease,human disease,disease
UMLS:C0040128	MONDO:0003240	endocrine system disorder,human disease,disease
UMLS:C0018824	MONDO:0002869	heart disorder,cardiovascular disorder,human disease,disease
UMLS:C0003864	MONDO:0005578	bone inflammation disease,bone disorder,skeletal system disorder,musculoskeletal system disorder,human disease,disease
UMLS:C0342154	MONDO:0012360, MONDO:0013757, MONDO:0009154, MONDO:0010139, MONDO:0010142, MONDO:0024264, MONDO:0010475	hypothyroidism, congenital, nongoitrous,hereditary disease,human disease,disease
UMLS:C0079745	MONDO:0018906	neoplasm of mature B-cells,B-cell neoplasm,leukocyte disorder,immune system disorder,human disease,disease
UMLS:C0241868		disease
UMLS:C4509024	MONDO:0007100	hereditary amyloidosis,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C1853743		disease
UMLS:C0002965	MONDO:0006805	coronary artery disorder,arterial disorder,vascular disorder,cardiovascular disorder,human disease,disease
UMLS:C0021361	MONDO:0021124	female reproductive system disorder,reproductive system disorder,human disease,disease
UMLS:C0033578	MONDO:0008315, MONDO:0021259	male reproductive organ cancer,reproductive system cancer,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C1843920	MONDO:0018151	mitochondrial oxidative phosphorylation disorder,inborn mitochondrial metabolism disorder,developmental anomaly of metabolic origin,metabolic disease,human disease,disease
UMLS:C1332965	MONDO:0003130, MONDO:0017043	kidney cancer,malignant urinary system neoplasm,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C4284414	MONDO:0014950	familial thoracic aortic aneurysm and aortic dissection,hereditary disease,human disease,disease
UMLS:C0020626	MONDO:0001220	parathyroid gland disorder,endocrine system disorder,human disease,disease
UMLS:C0039292	MONDO:0008783	hypolipoproteinemia,inherited lipid metabolism disorder,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C0007134	MONDO:0005549, MONDO:0005086	renal cell carcinoma,adenocarcinoma,carcinoma,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C5676969	MONDO:0859240	hereditary disease,human disease,disease
UMLS:C0027070	MONDO:0002380	epithelial neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0015456	MONDO:0006548	skin disorder,integumentary system disorder,human disease,disease
UMLS:C5561963	MONDO:0030537	central hypoventilation syndrome, congenital,hereditary disease,human disease,disease
UMLS:C0266491		disease
UMLS:C4013699	MONDO:0800349	familial atrial fibrillation,atrial fibrillation,cardiac rhythm disease,heart disorder,cardiovascular disorder,human disease,disease
UMLS:C0153107	MONDO:0001249	chlamydia trachomatis infectious disease,commensal bacterial infectious disease,bacterial infectious disease,infectious disease,human disease,disease
UMLS:C0013274	MONDO:0011827	vascular disorder,cardiovascular disorder,human disease,disease
UMLS:C5436714	MONDO:0033651	mitochondrial complex IV deficiency, nuclear-type,mitochondrial complex deficiency,inborn mitochondrial metabolism disorder,developmental anomaly of metabolic origin,metabolic disease,human disease,disease
UMLS:C0034372	MONDO:0001590	palsy,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0087086	MONDO:0000831	vascular disorder,cardiovascular disorder,human disease,disease
UMLS:C4021085		disease
UMLS:C3489726	MONDO:0000127, MONDO:0007055	acromelic dysplasia,skeletal dysplasia,hereditary disease,human disease,disease
UMLS:C3279392		disease
UMLS:C4747891	MONDO:0060724	inherited lipid metabolism disorder,inborn errors of metabolism,hereditary disease,human disease,disease
UMLS:C0235833	MONDO:0005711, MONDO:0007719	diaphragm disorder,respiratory system disorder,human disease,disease
UMLS:C0311468	MONDO:0024288	bilirubin metabolism disease,metabolic disease,human disease,disease
UMLS:C0027947	MONDO:0001475, MONDO:0001609, MONDO:0018542	agranulocytosis,leukopenia,leukocyte disorder,immune system disorder,human disease,disease
UMLS:C2746069	MONDO:0015998	lens disorder,eye disorder,disorder of orbital region,human disease,disease
UMLS:C1868672	MONDO:0010974, MONDO:0031008	familial idiopathic steroid-resistant nephrotic syndrome,familial nephrotic syndrome,nephrotic syndrome,syndromic disease,human disease,disease
UMLS:C5779875	MONDO:0000137, MONDO:0024555	brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C0268059	MONDO:0009275	hereditary hemochromatosis,hemosiderosis,iron metabolism disease,mineral metabolism disease,metabolic disease,human disease,disease
UMLS:C0543888		disease
UMLS:C1136209	MONDO:0018059	meningococcal infection,bacterial infectious disease,infectious disease,human disease,disease
UMLS:C0017563	MONDO:0002021	periodontal disorder,tooth disorder,skeletal system disorder,musculoskeletal system disorder,human disease,disease
UMLS:C5391534	MONDO:0100163	viral infectious disease,infectious disease,human disease,disease
UMLS:C0029804	MONDO:0012354, MONDO:0008332, MONDO:0013622, MONDO:0013623	inherited bleeding disorder, platelet-type,hemorrhagic disease,hematologic disorder,human disease,disease
UMLS:C1860339	MONDO:0008671	Waardenburg syndrome type 2,Waardenburg syndrome,autosomal dominant disease,autosomal genetic disease,hereditary disease,human disease,disease
UMLS:C0006625		disease
UMLS:C3711374	MONDO:0019497	hearing loss disorder,hearing disorder,auditory system disorder,human disease,disease
UMLS:C0025149	MONDO:0007959	cerebellar neoplasm,cerebellar disorder,brain disorder,central nervous system disorder,nervous system disorder,human disease,disease
UMLS:C4021159		disease
UMLS:C0750442	MONDO:0017436	hereditary disease,human disease,disease
UMLS:C0339541	MONDO:0100288, MONDO:0100289	vitreoretinal degeneration,vitreous syneresis,vitreous disorder,vitreous body disorder,eye disorder,disorder of orbital region,human disease,disease
UMLS:C4477100		disease
UMLS:C4016716		disease
UMLS:C0007370		disease
UMLS:C0035334	MONDO:0019200	inherited retinal dystrophy,retinal degeneration,retinal disorder,nervous system disorder,human disease,disease
UMLS:C2062367	MONDO:0018060	coagulation protein disease,blood coagulation disease,hematologic disorder,human disease,disease
UMLS:C4085590	MONDO:0015993	inherited retinal dystrophy,retinal degeneration,retinal disorder,nervous system disorder,human disease,disease
UMLS:C4551563	MONDO:0001149	disorder of development or morphogenesis,human disease,disease
UMLS:C1292772	MONDO:0004653	myeloid leukemia,leukemia,hematopoietic and lymphoid cell neoplasm,hematopoietic and lymphoid system neoplasm,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0039590	MONDO:0005447, MONDO:0021348	male reproductive organ cancer,reproductive system cancer,cancer,neoplasm,neoplastic disease or syndrome,cancer or benign tumor,human disease,disease
UMLS:C0239946	MONDO:0005155	liver disorder,hepatobiliary disorder,digestive system disorder,human disease,disease
