node	type
UMLS:C5394081	disease
UMLS:C0403823	disease
UMLS:C1853833	disease
UMLS:C0007789	disease
UMLS:C0040411	disease
UMLS:C1335469	disease
UMLS:C0265535	disease
UMLS:C5561966	disease
UMLS:C0344724	disease
UMLS:C0152200	disease
UMLS:C0026827	disease
UMLS:C1835677	disease
UMLS:C0149871	disease
UMLS:C4225331	disease
UMLS:C0001973	disease
UMLS:C5681246	disease
UMLS:C0006413	disease
UMLS:C0008312	disease
UMLS:C5436552	disease
UMLS:C0013902	disease
UMLS:C1720859	disease
UMLS:C4083008	disease
UMLS:C0027626	disease
UMLS:C0017920	disease
UMLS:C1840529	disease
UMLS:C0038131	disease
UMLS:C1708353	disease
UMLS:C0001430	disease
UMLS:C0014544	disease
UMLS:C0268467	disease
UMLS:C4087347	disease
UMLS:C5543526	disease
UMLS:C0001925	disease
UMLS:C0038868	disease
UMLS:C0271385	disease
UMLS:C1836230	disease
UMLS:C0010606	disease
UMLS:C0013415	disease
UMLS:C0278701	disease
UMLS:C2609414	disease
UMLS:C3280953	disease
UMLS:C5680250	disease
UMLS:C0860204	disease
UMLS:C0039685	disease
UMLS:C0949804	disease
UMLS:C2931456	disease
UMLS:C0026266	disease
UMLS:C4748081	disease
UMLS:C0272236	disease
UMLS:C0008780	disease
UMLS:C0019080	disease
UMLS:C0270824	disease
UMLS:C1843244	disease
UMLS:C3714958	disease
UMLS:C1863616	disease
UMLS:C0393814	disease
UMLS:C5681199	disease
UMLS:C0016057	disease
UMLS:C4305275	disease
UMLS:C5548198	disease
UMLS:C3549874	disease
UMLS:C0006845	disease
UMLS:C5829558	disease
UMLS:C3280415	disease
UMLS:C4012268	disease
UMLS:C0079485	disease
UMLS:C0457133	disease
UMLS:C2932714	disease
UMLS:C1335060	disease
UMLS:C0342881	disease
UMLS:C0206627	disease
UMLS:C0751039	disease
UMLS:C1970163	disease
UMLS:C0011882	disease
UMLS:C5679692	disease
UMLS:C1853242	disease
UMLS:C1850318	disease
UMLS:C0015672	disease
UMLS:C0266539	disease
UMLS:C4021533	disease
UMLS:C3553450	disease
UMLS:C1704380	disease
UMLS:C4310796	disease
UMLS:C2062367	disease
UMLS:C1859774	disease
UMLS:C1867969	disease
UMLS:C4721411	disease
UMLS:C3810363	disease
UMLS:C3806583	disease
UMLS:C1860788	disease
UMLS:C0006625	disease
UMLS:C0233477	disease
UMLS:C0018128	disease
UMLS:C0018965	disease
UMLS:C5680088	disease
UMLS:C0029512	disease
UMLS:C0011860	disease
UMLS:C4551766	disease
UMLS:C0868847	disease
UMLS:C0027070	disease
UMLS:C0876994	disease
UMLS:C0001733	disease
UMLS:C2749215	disease
UMLS:C0007786	disease
UMLS:C0004245	disease
UMLS:C0151779	disease
UMLS:C0236780	disease
UMLS:C0796085	disease
UMLS:C4746985	disease
UMLS:C0270763	disease
UMLS:C4225218	disease
UMLS:C4748827	disease
UMLS:C2981150	disease
UMLS:C0376634	disease
UMLS:C3532934	disease
UMLS:C0206669	disease
UMLS:C0008479	disease
UMLS:C0266589	disease
UMLS:C1956131	disease
UMLS:C0339527	disease
UMLS:C0035300	disease
UMLS:C0339525	disease
UMLS:C0341823	disease
UMLS:C0153574	disease
UMLS:C0036421	disease
UMLS:C0001125	disease
UMLS:C1862841	disease
UMLS:C4273988	disease
UMLS:C0009375	disease
UMLS:C3665386	disease
UMLS:C4016820	disease
UMLS:C0004135	disease
UMLS:C4041558	disease
UMLS:C0376323	disease
UMLS:C5774315	disease
UMLS:C5679682	disease
UMLS:C0021846	disease
UMLS:C0338575	disease
UMLS:C0014877	disease
UMLS:C0399373	disease
UMLS:C0015923	disease
UMLS:C0035455	disease
UMLS:C0152459	disease
UMLS:C5830452	disease
UMLS:C1857775	disease
UMLS:C1847501	disease
UMLS:C0003723	disease
UMLS:C2936380	disease
UMLS:C3495488	disease
UMLS:C3711368	disease
UMLS:C0042029	disease
UMLS:C4721436	disease
UMLS:C0032897	disease
UMLS:C0010036	disease
UMLS:C1631597	disease
UMLS:C4015513	disease
UMLS:C4751115	disease
UMLS:C2750246	disease
UMLS:C0751436	disease
UMLS:C0005967	disease
UMLS:C0919267	disease
UMLS:C1866173	disease
UMLS:C1836829	disease
UMLS:C0154860	disease
UMLS:C4025650	disease
UMLS:C0031149	disease
UMLS:C0270911	disease
UMLS:C1135746	disease
UMLS:C0162809	disease
UMLS:C4225313	disease
UMLS:C0162835	disease
UMLS:C2675874	disease
UMLS:C3554517	disease
UMLS:C0220993	disease
UMLS:C0426817	disease
UMLS:C3279664	disease
UMLS:C0020615	disease
UMLS:C5568976	disease
UMLS:C5676881	disease
UMLS:C4225429	disease
UMLS:C0013080	disease
UMLS:C0009405	disease
UMLS:C0239548	disease
UMLS:C0018824	disease
UMLS:C1836916	disease
UMLS:C3279754	disease
UMLS:C5561976	disease
UMLS:C0158760	disease
UMLS:C0003076	disease
UMLS:C0039070	disease
UMLS:C3554398	disease
UMLS:C1843355	disease
UMLS:C5700310	disease
