_id,_labels,Ensembl,diseaseID,drugID,gene_count,id,name,ncbiID,source,subcellular_loc,_start,_end,_type,score,source.1,type,atcClassification,class,uniprotID
13440,:Protein,ENSG00000166535,,,,ENSG00000166535,A2ML1,144568,BridgeDB,,,,,,,,,,
13441,:Disease,,C0028326,,,C0028326,Noonan Syndrome,,DisGeNET,,,,,,,,,,
13442,:Disease,,C0029882,,,C0029882,Otitis Media,,DisGeNET,,,,,,,,,,
13443,:Disease,,C0175704,,,C0175704,LEOPARD Syndrome,,DisGeNET,,,,,,,,,,
13444,:Disease,,C0587248,,,C0587248,Costello syndrome (disorder),,DisGeNET,,,,,,,,,,
13445,:Disease,,C1275081,,,C1275081,Cardio-facio-cutaneous syndrome,,DisGeNET,,,,,,,,,,
13446,:Disease,,C1843181,,,C1843181,Noonan syndrome-like disorder with loose anagen hair,,DisGeNET,,,,,,,,,,
13447,:Disease,,C3501846,,,C3501846,Noonan-Like Syndrome With Loose Anagen Hair,,DisGeNET,,,,,,,,,,
13454,:Protein,ENSG00000087884,,,,ENSG00000087884,AAMDC,28971,BridgeDB,,,,,,,,,,
13461,:Protein,ENSG00000165029,,,,ENSG00000165029,ABCA1,19,BridgeDB,,,,,,,,,,
13462,:Disease,,C0039292,,,C0039292,Tangier Disease,,DisGeNET,,,,,,,,,,
13463,:Disease,,C0751544,,,C0751544,Tangier Disease Neuropathy,,DisGeNET,,,,,,,,,,
13464,:Disease,,C1704429,,,C1704429,"Hypoalphalipoproteinemia, Familial",,DisGeNET,,,,,,,,,,
13465,:Disease,,C2931838,,,C2931838,Familial HDL deficiency,,DisGeNET,,,,,,,,,,
13466,:Disease,,C3711531,,,C3711531,"Hdl Deficiency, Type 2",,DisGeNET,,,,,,,,,,
13467,:Disease,,C0342898,,,C0342898,Apolipoprotein A-I deficiency,,DisGeNET,,,,,,,,,,
13468,:Disease,,C0020445,,,C0020445,"Hypercholesterolemia, Familial",,DisGeNET,,,,,,,,,,
13469,:Disease,,C0745103,,,C0745103,Hyperlipoproteinemia Type IIa,,DisGeNET,,,,,,,,,,
13470,:Disease,,C1704417,,,C1704417,Hyperlipoproteinemia Type IIb,,DisGeNET,,,,,,,,,,
13471,:Disease,,C0022661,,,C0022661,"Kidney Failure, Chronic",,DisGeNET,,,,,,,,,,
13472,:Disease,,C4721453,,,C4721453,Peripheral Nervous System Diseases,,DisGeNET,,,,,,,,,,
13473,:Disease,,C0036341,,,C0036341,Schizophrenia,,DisGeNET,,,,,,,,,,
13474,:Disease,,C0004153,,,C0004153,Atherosclerosis,,DisGeNET,,,,,,,,,,
13475,:Disease,,C0020443,,,C0020443,Hypercholesterolemia,,DisGeNET,,,,,,,,,,
13476,:Disease,,C1563937,,,C1563937,Atherogenesis,,DisGeNET,,,,,,,,,,
13477,:Disease,,C0009402,,,C0009402,Colorectal Carcinoma,,DisGeNET,,,,,,,,,,
13478,:Disease,,C0009404,,,C0009404,Colorectal Neoplasms,,DisGeNET,,,,,,,,,,
13479,:Disease,,C0473527,,,C0473527,Hypoalphalipoproteinemias,,DisGeNET,,,,,,,,,,
13557,:Drug,,,DB01599,,CHEMBL608,PROBUCOL,,OpenTargets,,,,,,,,"C10AX02,C10AX,C10A,C10,C,Drug",,
13572,:Protein,ENSG00000085563,,,,ENSG00000085563,ABCB1,5243,BridgeDB,,,,,,,,,,
13573,:Disease,,C0027627,,,C0027627,Neoplasm Metastasis,,DisGeNET,,,,,,,,,,
13574,:Disease,,C0206686,,,C0206686,Adrenocortical carcinoma,,DisGeNET,,,,,,,,,,
13575,:Disease,,C0020651,,,C0020651,"Hypotension, Orthostatic",,DisGeNET,,,,,,,,,,
13576,:Disease,,C0149504,,,C0149504,"Encephalopathy, Toxic",,DisGeNET,,,,,,,,,,
13577,:Disease,,C0154659,,,C0154659,Toxic Encephalitis,,DisGeNET,,,,,,,,,,
13578,:Disease,,C0235032,,,C0235032,Neurotoxicity Syndromes,,DisGeNET,,,,,,,,,,
13579,:Disease,,C0338831,,,C0338831,Manic,,DisGeNET,,,,,,,,,,
13580,:Disease,,C0027947,,,C0027947,Neutropenia,,DisGeNET,,,,,,,,,,
13581,:Disease,,C0004930,,,C0004930,Behavior Disorders,,DisGeNET,,,,,,,,,,
13582,:Disease,,C0004936,,,C0004936,Mental disorders,,DisGeNET,,,,,,,,,,
13583,:Disease,,C0027765,,,C0027765,nervous system disorder,,DisGeNET,,,,,,,,,,
13584,:Disease,,C0376338,,,C0376338,"Diagnosis, Psychiatric",,DisGeNET,,,,,,,,,,
13585,:Disease,,C4046029,,,C4046029,"Mental Disorders, Severe",,DisGeNET,,,,,,,,,,
13586,:Disease,,C0023893,,,C0023893,"Liver Cirrhosis, Experimental",,DisGeNET,,,,,,,,,,
13587,:Disease,,C2239176,,,C2239176,Liver carcinoma,,DisGeNET,,,,,,,,,,
13588,:Disease,,C0003865,,,C0003865,"Arthritis, Adjuvant-Induced",,DisGeNET,,,,,,,,,,
13589,:Disease,,C0971858,,,C0971858,"Arthritis, Collagen-Induced",,DisGeNET,,,,,,,,,,
13590,:Disease,,C0993582,,,C0993582,"Arthritis, Experimental",,DisGeNET,,,,,,,,,,
13591,:Disease,,C0005586,,,C0005586,Bipolar Disorder,,DisGeNET,,,,,,,,,,
13592,:Disease,,C0013221,,,C0013221,Drug toxicity,,DisGeNET,,,,,,,,,,
13593,:Disease,,C0041755,,,C0041755,Adverse reaction to drug,,DisGeNET,,,,,,,,,,
13594,:Disease,,C0014544,,,C0014544,Epilepsy,,DisGeNET,,,,,,,,,,
