"feature","geneName","avgLog2CPM","avgLog2FC","P.Value","FDR","DE","chromosome","startPos","endPos","geneStrand","geneLength","exonLength","geneGC","exonGC","intronGC","geneType","avgCPM","avgFC"
"ENSMUSG00000015090","Ptgds",6.27030241562334,4.24847080652138,1.53785444202383e-25,2.13669496174792e-21,1,"2",25356721,25360058,"-",3338,1642,0.562182,0.566382,0.558112,"protein_coding",77.1878792868173,19.0071564066393
"ENSMUSG00000031383","Dusp9",2.63266324732384,-2.18938547084182,2.03286583806484e-19,1.41223189770364e-15,-1,"X",72683025,72687120,"+",4096,2718,0.569475,0.584989,0.538853,"protein_coding",6.20169788665361,0.219244799771103
"ENSMUSG00000026822","Lcn2",4.95084555483086,4.67867458711846,2.04058008390434e-18,9.45060656192231e-15,1,"2",32274645,32278264,"-",3620,2618,0.547112,0.538197,0.57043,"protein_coding",30.9280839774518,25.610696565803
"ENSMUSG00000031004","Mki67",4.94725912087433,2.76977335299143,4.91944340367495e-18,1.70876866626649e-14,1,"7",135291513,135318090,"-",26578,10047,0.431463,0.464915,0.411131,"protein_coding",30.8512945172876,6.82000762858828
"ENSMUSG00000022146","Osmr",5.31893233551612,1.86844925559666,8.64549970803244e-18,2.11190628888427e-14,1,"15",6843058,6904450,"-",61393,12096,0.431099,0.440146,0.428879,"protein_coding",39.9170260910924,3.65139882366108
"ENSMUSG00000115483","Gm9732",3.18073456827007,2.62641395269976,9.12007897891581e-18,2.11190628888427e-14,1,"14",43132493,43163468,"+",30976,2655,0.411364,0.413183,0.411194,"protein_coding",9.06768684620471,6.17489220880145
"ENSMUSG00000061947","Serpina10",3.52698385449687,4.79275935039447,1.08375992755609e-17,2.15110863335205e-14,1,"12",103581045,103597703,"-",16659,3493,0.450894,0.468365,0.446259,"protein_coding",11.5273089854462,27.7181554757325
"ENSMUSG00000078597","Cyp4a12b",4.78118234813337,2.68299525199242,1.32325074507985e-17,2.29815573151743e-14,1,"4",115268821,115296231,"+",27411,2383,0.400146,0.466219,0.393855,"protein_coding",27.4966193489886,6.42187797485531
"ENSMUSG00000026605","Cenpf",3.60084278948597,2.71370674243261,3.18477971402254e-17,4.91659214962546e-14,1,"1",189372803,189420283,"-",47481,15415,0.4115,0.431463,0.401902,"protein_coding",12.1328181774628,6.56004968843376
"ENSMUSG00000005553","Atp4a",4.1212251361888,-1.83405052001604,4.02549908507057e-17,5.21043003537205e-14,-1,"7",30411634,30424959,"+",13326,3740,0.529306,0.559893,0.517371,"protein_coding",17.4025297503189,0.280476048304615
"ENSMUSG00000063903","Klk1",9.80670277603944,-1.5487176003576,4.12514253556158e-17,5.21043003537205e-14,-1,"7",43874784,43879042,"+",4259,1072,0.519493,0.526119,0.517263,"protein_coding",895.595069804108,0.341813764607314
"ENSMUSG00000005364","Il5ra",3.60022752055862,1.67325516991984,6.78898155853481e-17,7.86050914785688e-14,1,"6",106687318,106725998,"-",38681,3562,0.404033,0.425604,0.401845,"protein_coding",12.1276449743634,3.18933395476582
"ENSMUSG00000023033","Scn8a",2.82643665792867,3.25880919951751,8.70690774313847e-17,9.30567509101277e-14,1,"15",100767739,100943819,"+",176081,15730,0.472802,0.508582,0.469292,"protein_coding",7.09320015490375,9.57192570799758
"ENSMUSG00000014164","Klhl3",5.28398438764337,-1.06791404576071,1.03254320430729e-16,9.56410352043028e-14,-1,"13",58148042,58261406,"-",113365,7304,0.480435,0.518894,0.477786,"protein_coding",38.9616909647234,0.477008194069106
"ENSMUSG00000036198","Arhgap36",1.25928799501998,6.00926934268774,1.030852428902e-16,9.56410352043028e-14,1,"X",48552822,48589121,"+",36300,3405,0.435907,0.506608,0.428589,"protein_coding",2.39377573130932,64.4125250213613
"ENSMUSG00000023886","Smoc2",5.59230547537935,1.45439428042924,1.21841981040144e-16,1.05804530285735e-13,1,"17",14499768,14625052,"+",125285,6934,0.461831,0.480675,0.460727,"protein_coding",48.244931377171,2.74041479752974
"ENSMUSG00000027331","Knstrn",2.52203244759496,2.18544043087882,2.04774597854705e-16,1.58063236810738e-13,1,"2",118644484,118684438,"+",39955,5148,0.453647,0.470474,0.451158,"protein_coding",5.74390722702272,4.54865631036627
"ENSMUSG00000050071","Bex1",2.41264338891932,2.0344781530214,1.93542112499056e-16,1.58063236810738e-13,1,"X",135114721,135116262,"-",1542,1184,0.58209,0.528716,0.759104,"protein_coding",5.32449016167868,4.09674516269725
"ENSMUSG00000068744","Psrc1",2.24905107240761,2.40882988509683,2.86126584887192e-16,2.09233830022244e-13,1,"3",108291155,108295547,"+",4393,3360,0.506375,0.514286,0.48062,"protein_coding",4.75370070155934,5.31043441851237
"ENSMUSG00000001228","Uhrf1",3.24965132395906,2.27980851185786,3.53756243817359e-16,2.26429610210337e-13,1,"17",56610321,56630486,"+",20166,4241,0.524473,0.543268,0.519467,"protein_coding",9.51135790095457,4.85613494260581
"ENSMUSG00000026167","Wnt10a",1.45080255180655,2.89366298611204,3.5853256259014e-16,2.26429610210337e-13,1,"1",74830675,74843338,"+",12664,2464,0.541183,0.637581,0.517894,"protein_coding",2.73360075588134,7.43154917965542
"ENSMUSG00000029154","Cwh43",3.51144057211453,-1.56761732590813,3.29579181092005e-16,2.26429610210337e-13,-1,"5",73563418,73610778,"+",47361,2899,0.435747,0.491549,0.432109,"protein_coding",11.4037828837577,0.3373651076332
"ENSMUSG00000027239","Mdk",5.7042156037205,1.56453847812905,4.39846987489868e-16,2.6570582800801e-13,1,"2",91760150,91762642,"-",2493,1318,0.574238,0.578907,0.568995,"protein_coding",52.1362749657196,2.95782865010584
"ENSMUSG00000029108","Pcdh7",3.72801321322211,1.74362998594332,6.14356163756678e-16,3.49764437305913e-13,1,"5",57875309,58290572,"+",415264,10597,0.366414,0.442484,0.364422,"protein_coding",13.250851941476,3.34876696755548
"ENSMUSG00000031766","Slc12a3",9.3624948718649,-1.02964813212901,6.29344388415707e-16,3.49764437305913e-13,-1,"8",95055829,95092842,"+",37014,11096,0.513495,0.518295,0.51144,"protein_coding",658.251398824656,0.489829601815453
"ENSMUSG00000027715","Ccna2",2.91847865970758,2.0566025162215,7.17726853833634e-16,3.69336922487575e-13,1,"3",36619014,36626299,"-",7286,4074,0.439671,0.460972,0.412644,"protein_coding",7.56048434169216,4.16005475169382
"ENSMUSG00000061718","Ppp1r1b",6.00518651302853,-1.49573321390883,6.91284389698357e-16,3.69336922487575e-13,-1,"11",98239230,98248622,"+",9393,2919,0.55526,0.585817,0.54148,"protein_coding",64.2304951492208,0.354600576314565
"ENSMUSG00000006269","Atp6v1b1",6.62774366982838,-1.09819599405607,1.08146221526422e-15,5.36637000674322e-13,-1,"6",83719972,83735837,"+",15866,4367,0.529215,0.50103,0.53992,"protein_coding",98.8893786695223,0.467100212293207
"ENSMUSG00000028068","Iqgap3",2.31947178555013,2.54165564752238,1.21074629665063e-15,5.80072725712546e-13,1,"3",87989278,88028355,"+",39078,11350,0.513755,0.533568,0.505644,"protein_coding",4.99149432341023,5.82256825907005
"ENSMUSG00000062991","Nrg1",4.33287140221145,1.79287253582433,1.34076201520575e-15,6.20951581308958e-13,1,"8",32304579,33374825,"-",1070247,15412,0.394492,0.442447,0.393791,"protein_coding",20.152283281101,3.46504127071084
"ENSMUSG00000029414","Kntc1",1.39503931838813,2.3875340839441,1.6648777482166e-15,7.46187465603917e-13,1,"5",123887779,123959656,"+",71878,7918,0.44252,0.462491,0.440048,"protein_coding",2.62995719478744,5.23262214596816
"ENSMUSG00000040405","Havcr1",5.31078812753303,5.89700911449548,1.72864385903865e-15,7.50555555546342e-13,1,"11",46625907,46670405,"+",44499,2300,0.430738,0.435652,0.430471,"protein_coding",39.6923239316536,59.5904449417155
