"feature","geneName","avgLog2CPM","avgLog2FC","P.Value","FDR","DE","chromosome","startPos","endPos","geneStrand","geneLength","exonLength","geneGC","exonGC","intronGC","geneType","avgCPM","avgFC"
"ENSMUSG00000100426","Gm4208",2.75632764714255,-1.5387421062533,1.71396090206306e-12,2.38137727732641e-08,-1,"1",62860514,62871529,"-",11016,869,0.458738,0.485616,0.456436,"lncRNA",6.75674143311376,0.344185420907642
"ENSMUSG00000032087","Dscaml1",0.713944633444177,1.39208027134812,8.75187462007792e-08,0.000607992729857,1,"9",45337926,45665010,"+",327085,8868,0.490635,0.559878,0.488706,"protein_coding",1.64028287176752,2.62456853574373
"ENSMUSG00000024747","Aldh1a7",4.80347605622729,0.814413711066588,2.7013785187546e-07,0.001251098437986,1,"19",20670317,20704926,"-",34610,2053,0.385536,0.46225,0.380698,"protein_coding",27.9248196136245,1.75858334556075
"ENSMUSG00000091813","Ces2h",2.27656403164701,-0.81316777067368,5.15539338209943e-07,0.001790725891272,-1,"8",105727485,105747810,"+",20326,2433,0.461205,0.505138,0.455231,"protein_coding",4.84522624041352,0.569130826596416
"ENSMUSG00000004035","Gstm7",3.36550690296147,0.47476827966223,8.60658701466446e-07,0.002391598399635,1,"3",107833650,107839133,"-",5484,1593,0.50538,0.522913,0.498201,"protein_coding",10.3066737359259,1.38969499424954
"ENSMUSG00000001155","Ftcd",4.80937673173285,-0.711595827661673,2.04588327832491e-06,0.004737583711508,-1,"10",76411482,76426172,"+",14691,3178,0.500953,0.545312,0.488707,"protein_coding",28.0392670351429,0.610644304935586
"ENSMUSG00000021336","Slc17a4",2.7801626026615,0.698457302350017,5.54853287230607e-06,0.007008301429802,1,"13",24079873,24098992,"-",19120,5969,0.429834,0.442453,0.424106,"protein_coding",6.86929766976506,1.62276861131934
"ENSMUSG00000027331","Knstrn",2.52203244759496,-0.612055551844488,4.46980059099695e-06,0.007008301429802,-1,"2",118644484,118684438,"+",39955,5148,0.453647,0.470474,0.451158,"protein_coding",5.74390722702272,0.654263842417789
"ENSMUSG00000028873","Cdca8",2.24268922590542,-0.530739549872716,5.33243379819613e-06,0.007008301429802,-1,"4",124812258,124833104,"-",20847,5164,0.471074,0.490899,0.464545,"protein_coding",4.73278447773902,0.692199809766137
"ENSMUSG00000038486","Sv2a",4.05708591372722,0.378698195201535,4.7215284846899e-06,0.007008301429802,1,"3",96088467,96102837,"+",14371,4623,0.511134,0.540342,0.497281,"protein_coding",16.6457955062379,1.30016812923663
"ENSMUSG00000044816","D630023F18Rik",3.70949621107885,0.730732836811875,3.82932078253024e-06,0.007008301429802,1,"1",65144444,65162373,"-",17930,2658,0.427743,0.417231,0.429572,"protein_coding",13.0818639540309,1.6594818342181
"ENSMUSG00000003038","Hmgn2",6.35772628463277,-0.245240470648622,6.61821083133144e-06,0.007662785107543,-1,"4",133692049,133695961,"-",3913,3057,0.526074,0.516847,0.559064,"protein_coding",82.0099063378054,0.843675159324539
"ENSMUSG00000015451","C4a",1.39750626368367,-1.09620974980104,1.55149036480252e-05,0.014370938085711,-1,"17",35028069,35042440,"-",14372,6167,0.55438,0.551808,0.556314,"lncRNA",2.63445815346013,0.467743739886858
"ENSMUSG00000026295","Spp2",7.6179850728271,0.48312246014763,1.47140407298857e-05,0.014370938085711,1,"1",88334683,88354160,"+",19478,984,0.457925,0.507114,0.455307,"protein_coding",196.445467709814,1.39776561322292
"ENSMUSG00000056749","Nfil3",2.27103068270443,-0.769114419193568,1.35678457807052e-05,0.014370938085711,-1,"13",53121245,53135109,"-",13865,2024,0.489325,0.545455,0.47973,"protein_coding",4.82667832980065,0.58677755035414
"ENSMUSG00000016756","Cmah",5.35712391862968,-0.267354925939032,1.80637082535152e-05,0.014385032662449,-1,"13",24511387,24661360,"+",149974,10640,0.423503,0.415602,0.424106,"protein_coding",40.9878360143464,0.830841436233452
"ENSMUSG00000027452","Acss1",7.16731892119513,0.387139176768842,1.96714855755383e-05,0.014385032662449,1,"2",150460025,150510420,"-",50396,4113,0.462486,0.516655,0.457673,"protein_coding",143.740113606399,1.30779750565713
"ENSMUSG00000027577","Chrna4",5.8094022005375,0.778143414405252,1.69814727031252e-05,0.014385032662449,1,"2",180660173,180685339,"-",25167,5014,0.526822,0.552653,0.520395,"protein_coding",56.0795240687234,1.71492254059879
"ENSMUSG00000029368","Alb",5.9791911009036,-5.96272003929368,1.92244869019993e-05,0.014385032662449,-1,"5",90608756,90624461,"+",15706,2326,0.38994,0.456148,0.378429,"protein_coding",63.08351311926,0.0160340196842592
"ENSMUSG00000026205","Slc23a3",3.17047803965604,0.374639475877664,2.67424943996074e-05,0.015109045441227,1,"1",75102185,75110534,"-",8350,2156,0.486645,0.562152,0.460358,"protein_coding",9.00345069325402,1.29651551976119
