"feature","geneName","avgLog2CPM","avgLog2FC","P.Value","FDR","DE","chromosome","startPos","endPos","geneStrand","geneLength","exonLength","geneGC","exonGC","intronGC","geneType","avgCPM","avgFC"
"ENSMUSG00000015090","Ptgds",6.27030241562334,4.55356876858391,2.34452264646759e-26,3.25747976500207e-22,1,"2",25356721,25360058,"-",3338,1642,0.562182,0.566382,0.558112,"protein_coding",77.1878792868173,23.4833897815383
"ENSMUSG00000078597","Cyp4a12b",4.78118234813337,3.04712422156624,3.61812184200544e-19,2.51350924364118e-15,1,"4",115268821,115296231,"+",27411,2383,0.400146,0.466219,0.393855,"protein_coding",27.4966193489886,8.26562677294311
"ENSMUSG00000100426","Gm4208",2.75632764714255,-2.55065435772156,6.20043818294822e-18,2.87162960379608e-14,-1,"1",62860514,62871529,"-",11016,869,0.458738,0.485616,0.456436,"lncRNA",6.75674143311376,0.170677600942996
"ENSMUSG00000026822","Lcn2",4.95084555483086,4.3839676520738,1.24316102309348e-17,3.45449585097216e-14,1,"2",32274645,32278264,"-",3620,2618,0.547112,0.538197,0.57043,"protein_coding",30.9280839774518,20.8788110157084
"ENSMUSG00000050071","Bex1",2.41264338891932,2.2447816520189,1.02524303059613e-17,3.45449585097216e-14,1,"X",135114721,135116262,"-",1542,1184,0.58209,0.528716,0.759104,"protein_coding",5.32449016167868,4.73965369574988
"ENSMUSG00000022146","Osmr",5.31893233551612,1.83108949668265,1.53471599850186e-17,3.55389068053081e-14,1,"15",6843058,6904450,"-",61393,12096,0.431099,0.440146,0.428879,"protein_coding",39.9170260910924,3.55805668912225
"ENSMUSG00000115483","Gm9732",3.18073456827007,2.55585344804027,2.01301996875502e-17,3.99555706369747e-14,1,"14",43132493,43163468,"+",30976,2655,0.411364,0.413183,0.411194,"protein_coding",9.06768684620471,5.88015199715971
"ENSMUSG00000061947","Serpina10",3.52698385449687,4.46729547367244,9.12777164101632e-17,1.58526573975351e-13,1,"12",103581045,103597703,"-",16659,3493,0.450894,0.468365,0.446259,"protein_coding",11.5273089854462,22.1202452159399
"ENSMUSG00000031383","Dusp9",2.63266324732384,-1.74645967299979,1.06442551425655e-16,1.64323645500895e-13,-1,"X",72683025,72687120,"+",4096,2718,0.569475,0.584989,0.538853,"protein_coding",6.20169788665361,0.298032243608489
"ENSMUSG00000005364","Il5ra",3.60022752055862,1.63612751348317,1.28863943718806e-16,1.7904356340291e-13,1,"6",106687318,106725998,"-",38681,3562,0.404033,0.425604,0.401845,"protein_coding",12.1276449743634,3.10830379232642
"ENSMUSG00000023033","Scn8a",2.82643665792867,3.19147816535828,1.59752368179927e-16,2.0178176395381e-13,1,"15",100767739,100943819,"+",176081,15730,0.472802,0.508582,0.469292,"protein_coding",7.09320015490375,9.13546500440695
"ENSMUSG00000023886","Smoc2",5.59230547537935,1.4154507575331,2.60961522606888e-16,3.02149949591675e-13,1,"17",14499768,14625052,"+",125285,6934,0.461831,0.480675,0.460727,"protein_coding",48.244931377171,2.66743063953108
"ENSMUSG00000024747","Aldh1a7",4.80347605622729,2.34509875128876,3.99284183889465e-16,4.26742650073864e-13,1,"19",20670317,20704926,"-",34610,2053,0.385536,0.46225,0.380698,"protein_coding",27.9248196136245,5.0809517052171
"ENSMUSG00000031004","Mki67",4.94725912087433,2.31011205997292,7.3962099111353e-16,7.34021003609384e-13,1,"7",135291513,135318090,"-",26578,10047,0.431463,0.464915,0.411131,"protein_coding",30.8512945172876,4.95921598720801
"ENSMUSG00000005553","Atp4a",4.1212251361888,-1.64117033301746,8.79526842771206e-16,8.14676396897542e-13,-1,"7",30411634,30424959,"+",13326,3740,0.529306,0.559893,0.517371,"protein_coding",17.4025297503189,0.320596296981422
"ENSMUSG00000026167","Wnt10a",1.45080255180655,2.75919089821838,1.57925513239449e-15,1.37138567559307e-12,1,"1",74830675,74843338,"+",12664,2464,0.541183,0.637581,0.517894,"protein_coding",2.73360075588134,6.77016454551288
"ENSMUSG00000036198","Arhgap36",1.25928799501998,5.59627348800651,1.73991950764265e-15,1.42202597877571e-12,1,"X",48552822,48589121,"+",36300,3405,0.435907,0.506608,0.428589,"protein_coding",2.39377573130932,48.377807694114
"ENSMUSG00000031351","Zfp185",4.23158079026455,1.13177974415299,2.73527261963779e-15,2.00020409353934e-12,1,"X",72030945,72075149,"+",44205,3687,0.454981,0.457282,0.454772,"protein_coding",18.7859320419778,2.19128896388561
"ENSMUSG00000068744","Psrc1",2.24905107240761,2.22843402487107,2.71465386398271e-15,2.00020409353934e-12,1,"3",108291155,108295547,"+",4393,3360,0.506375,0.514286,0.48062,"protein_coding",4.75370070155934,4.68625033898107
